Metric/Data Point,Value,Source/Reference Name,Reference URL,Relevance for PPT
"Total Handloom Workers (TAM)","35.22 lakh (26.74 lakh weavers, 8.48 lakh allied)","Fourth All India Handloom Census 2019-20 / PIB","https://pib.gov.in/PressReleasePage.aspx?PRID=1744040","Shows the massive scale of the problem and total addressable market."
"Female Handloom Workers","25.46 lakh (69.2% of workforce)","Fourth All India Handloom Census 2019-20 / PIB","https://pib.gov.in/PressReleasePage.aspx?PRID=1744040","Justifies the voice-first, low-literacy, accessible UX design."
"Serviceable Addressable Market (SAM)","12.93 lakh","Market Assumption based on Census","https://www.ministryoftextiles.gov.in/","Targeting ~20% of the artisan base (Hindi-first UI, accessible clusters)."
"Serviceable Obtainable Market (SOM)","300 (Year 1) -> 10,000 (Year 3)","Pilot Roadmap Projection","N/A","Shows a realistic, grounded business model starting with Jaipur/Sanganer clusters."
"Total Handloom Households","31.44 lakh","Fourth All India Handloom Census 2019-20","https://www.ministryoftextiles.gov.in/","Highlights the household-level nature of the industry."
"Handicraft Exports (FY 2024-25)","₹33,122.79 crore","EPCH (Export Promotion Council for Handicrafts) Annual Report","https://www.epch.in/","Proves the immense financial value and export demand for these products."
"ONDC Sellers","7 lakh+ onboarded, but only 1.16 lakh+ live retail","ONDC Official Data / DPIIT","https://ondc.org/","Highlights the 'last-mile digitization gap' - many are onboarded but cannot actively sell."
"GeM Portal Integration","B2G Pathway","Government e-Marketplace (GeM)","https://gem.gov.in/","Shows the B2B/B2G scale potential for rural artisans."
"Pehchan Artisan Data","State-wise artisan identities","Data.gov.in (Development Commissioner Handicrafts)","https://data.gov.in/","Government database for verifying beneficiary identities."
"Pricing Model Datasets","Indo Fashion Dataset, Indian Saree Patterns, Handmade Products","Kaggle Datasets","https://www.kaggle.com/","The actual datasets we will use to train our explainable Cost-Plus Pricing ML model."
